128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      270.3274675   7  72
  1      270.3276060   1  73
  1      270.3276873   2  66
  1      270.3278055   3  59
  1      270.3278450   5  67
  1      270.3279872  10  68
* Gp# 1[7,8,2] x =    734.4, y =    -66.2, q = 1 dT[    45,   222] Src Amplitude = 72.0
*        270.3274675   7  72
*        270.3274585   8  76
*        270.3276873   2  66
  1      270.3280470   4  64
  1      270.3280740   9  67
  1      270.3281605   6  66
  1      270.3350507   7  51
  1      270.3400590   2  51
  1      270.3418443   8  53
  1      270.3437640   8  51
  1      270.3441262   6  52
  1      270.3441590   5  50
  1      270.3441982   4  51
  1      270.3450458  10  50
* Gp# 1[8,6,5,4] x =     1661, y =   -8.822, q = 0.4782 dT[   366,   495,   734] Src Amplitude = 51.0
*        270.3437640   8  51
*        270.3441262   6  52
*        270.3441590   5  50
*        270.3441982   4  51
  1      270.3451238   1  54
  1      270.3458420   9  50
  1      270.3466960  10  50
  1      270.3475465   1  51
  1      275.0907445   8  76
  1      275.0907558   7  72
  1      275.0908935   1  71
  1      275.0909762   2  65
  1      275.0911085   3  58
  1      275.0911382   5  67
  1      275.0913503  10  68
  1      275.0913597   4  65
  1      275.0913790   9  65
* Gp# 1[7,8,2,1] x =    750.3, y =   -71.49, q = 0.9947 dT[    45,   223,   306] Src Amplitude = 72.0
*        275.0907558   7  72
*        275.0907445   8  76
*        275.0909762   2  65
*        275.0908935   1  71
  1      275.0914425   6  65
  1      275.1015030   2  54
  1      275.1022292   8  51
  1      275.1032907   4  52
  1      275.1046123   6  51
  1      275.1049928   5  51
  1      275.1052780   9  52
  1      275.1054353   4  52
  1      275.1057378  10  54
  1      275.1061903   1  52
  1      275.1073133   9  51
  1      275.2572637   1  51
  1      280.3356220   8  74
  1      280.3356387   7  70
  1      280.3357932   1  69
  1      280.3358520   2  64
  1      280.3360115   5  62
  1      280.3361000   3  56
  1      280.3362455   4  63
  1      280.3362558   9  65
  1      280.3362720  10  67
* Gp# 1[7,8,2,1,5] x =    727.4, y =   -65.67, q = 0.9987 dT[    36,   209,   293,   631] Src Amplitude = 70.0
*        280.3356387   7  70
*        280.3356220   8  74
*        280.3358520   2  64
*        280.3357932   1  69
*        280.3360115   5  62
  1      280.3363180   6  64
  1      280.3408202   7  50
  1      280.3446012   2  51
  1      280.3469763   4  51
  1      280.3470330   8  50
  1      280.3487417   5  51
  1      280.3489578   6  53
  1      280.3505190   1  51
  1      280.3510775   6  50
  1      284.8604825   8  77
  1      284.8604992   7  73
  1      284.8606287   1  72
  1      284.8607135   2  66
  1      284.8608725   5  64
  1      284.8609502   3  59
  1      284.8610110  10  70
* Gp# 1[7,8,2,1,5] x =    727.9, y =   -66.37, q = 0.9987 dT[    36,   210,   294,   631] Src Amplitude = 73.0
*        284.8604992   7  73
*        284.8604825   8  77
*        284.8607135   2  66
*        284.8606287   1  72
*        284.8608725   5  64
  1      284.8610280   9  69
  1      284.8611067   4  64
  1      284.8611768   6  67
  1      284.8686965   7  51
* Gp# 1[4,9,10] x =      208, y =     2321, q = 1 dT[   106,   255] Src Amplitude = 64.0
*        284.8611067   4  64
*        284.8610280   9  69
*        284.8610110  10  70
  1      284.8753700   8  50
  1      284.8756695   4  52
  1      284.8759333   6  52
  1      284.8771987   5  51
* Gp# 1[8,4,6] x =    830.2, y =    114.5, q = 0.6846 dT[   367,   567] Src Amplitude = 50.0
*        284.8753700   8  50
*        284.8756695   4  52
*        284.8759333   6  52
  1      284.8773162   1  52
  1      284.8774588   9  52
  1      284.8779393   6  50
  1      284.8787865   1  51
* Gp# 1[5,1,9] x =    339.4, y =     1464, q = 0.6846 dT[   119,   276] Src Amplitude = 51.0
*        284.8771987   5  51
*        284.8773162   1  52
*        284.8774588   9  52
  1      290.2995680   8  77
  1      290.2995845   7  72
  1      290.2997380   1  72
  1      290.2997972   2  65
  1      290.2999562   5  63
  1      290.2999663   3  57
  1      290.3001117   9  66
  1      290.3001903   4  66
  1      290.3002118  10  68
* Gp# 1[7,8,2,1] x =    728.7, y =   -63.39, q = 0.9934 dT[    37,   209,   292] Src Amplitude = 72.0
*        290.2995845   7  72
*        290.2995680   8  77
*        290.2997972   2  65
*        290.2997380   1  72
  1      290.3002633   6  66
  1      290.3077810   7  51
  1      290.3102682   2  50
  1      290.3117575   8  52
  1      290.3134963   8  51
  1      290.3139605   4  51
  1      290.3149227   5  51
  1      290.3150180   6  52
  1      290.3165420  10  50
  1      290.3165685   9  51
  1      290.3169160   1  51
  1      290.3186115  10  50
* Gp# 1[9,10,1] x =     2413, y =     1287, q = 0.9934 dT[   137,   348] Src Amplitude = 51.0
*        290.3165685   9  51
*        290.3165420  10  50
*        290.3169160   1  51
  1      290.3186602   1  50
211      295.8692760		Time Mark
  1      299.1008110   7  62
  1      299.1008215   8  63
  1      299.1009055   2  59
  1      299.1009183   1  67
  1      299.1012775   9  62
  1      299.1012882   5  60
  1      299.1012998   4  60
* Gp# 1[7,8,1,9] x =    135.4, y =     2637, q = 0.9934 dT[   144,   352,   786] Src Amplitude = 62.0
*        299.1008110   7  62
*        299.1008215   8  63
*        299.1009183   1  67
*        299.1012775   9  62
  1      299.1013198   6  60
  1      299.1013463  10  62
  1      299.1013730   3  51
  1      299.1032405   7  52
  1      299.1051213   7  50
  1      299.1111307   8  50
  1      299.1111320   4  52
  1      299.1120400   5  51
  1      299.1124592   6  53
  1      299.1137950   6  51
  1      299.1140712  10  51
  1      299.1142090   1  51
  1      299.1151710   6  51
  1      299.1153065   9  51
  1      302.2156582   7  64
  1      302.2157425   8  65
  1      302.2158142   2  63
  1      302.2158360   1  70
  1      302.2158490   3  53
  1      302.2161582   9  65
* Gp# 1[7,8,1] x =     1372, y =     3987, q = 0.9934 dT[   143,   352] Src Amplitude = 64.0
*        302.2156582   7  64
*        302.2157425   8  65
*        302.2158360   1  70
  1      302.2161875   4  63
  1      302.2162088   5  62
  1      302.2162385  10  65
  1      302.2162408   6  63
  1      302.2231970   7  50
  1      302.2277850   8  51
  1      302.2277980   2  50
  1      302.2296152   5  52
  1      302.2300912   6  52
  1      302.2301248   4  51
