128        0.0000000		Acquisition Running
211        2.7575993		Threshold for Channel   1 is now  41dB {Fixed}
211       15.7867710		Threshold for Channel   1 is now  50dB {Fixed}
211       16.7522970		Threshold for Channel   2 is now  50dB {Fixed}
211       16.7533183		Threshold for Channel   3 is now  50dB {Fixed}
211       16.7542332		Threshold for Channel   4 is now  50dB {Fixed}
211       16.7552573		Threshold for Channel   5 is now  50dB {Fixed}
211       16.7561743		Threshold for Channel   6 is now  50dB {Fixed}
211       16.7571933		Threshold for Channel   7 is now  50dB {Fixed}
211       16.7581063		Threshold for Channel   8 is now  50dB {Fixed}
211       16.7591025		Threshold for Channel   9 is now  50dB {Fixed}
211       16.7599942		Threshold for Channel  10 is now  50dB {Fixed}
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      171.3395868   1  50
  1      171.3402180  10  51
  1      171.3415158   1  51
  1      174.4278100   8  78
  1      174.4279180   7  67
  1      174.4279188   1  83
  1      174.4279303   2  73
  1      174.4281817   3  61
  1      174.4281855   5  69
  1      174.4282098   4  73
  1      174.4282520   6  70
* Gp# 1[8,7,2,1,3,4,5] x =    443.1, y =    12.23, q = 0.9936 dT[    65,   165,   180,   352,   530,   623] Src Amplitude = 78.0
*        174.4278100   8  78
*        174.4279180   7  67
*        174.4279303   2  73
*        174.4279188   1  83
*        174.4281817   3  61
*        174.4282098   4  73
*        174.4281855   5  69
  1      174.4283198  10  72
  1      174.4283610   9  72
  1      174.4407500   7  68
  1      174.4410720   3  58
  1      174.4522390   7  52
  1      174.4566323   2  51
  1      174.4584250   8  50
  1      174.4584513   5  52
  1      174.4586320   4  50
  1      174.4586865   6  52
  1      174.4597810   9  52
* Gp# 1[8,4,5,6] x =    571.9, y =    374.2, q = 0.4167 dT[   207,   416,   464] Src Amplitude = 50.0
*        174.4584250   8  50
*        174.4586320   4  50
*        174.4584513   5  52
*        174.4586865   6  52
  1      174.4601000   5  51
  1      174.4606350   4  50
  1      174.4611305   9  51
  1      174.4611583  10  52
  1      174.4612268   1  52
  1      174.4630853   9  52
  1      174.4633385  10  51
  1      174.4638430   1  50
  1      174.4643698   9  50
  1      181.3711537   8  73
  1      181.3712525   1  78
  1      181.3712580   7  66
  1      181.3713530   2  70
  1      181.3715235   3  56
  1      181.3716358   5  66
  1      181.3716760   6  65
* Gp# 1[8,7,2,1] x =    481.2, y =     6.21, q = 0.9457 dT[    69,   153,   199] Src Amplitude = 73.0
*        181.3711537   8  73
*        181.3712580   7  66
*        181.3713530   2  70
*        181.3712525   1  78
  1      181.3716895   4  69
  1      181.3717390   9  67
  1      181.3717783  10  68
  1      181.3803533   7  51
  1      181.3825790   2  50
  1      181.3829680   8  51
  1      181.3868603   5  52
  1      181.3871310   6  50
  1      181.3872240  10  52
  1      181.3873307   9  52
  1      181.3891895  10  50
  1      181.3896068   6  51
  1      184.3795433   8  76
  1      184.3796498   7  67
  1      184.3796678   1  81
  1      184.3797445   2  72
  1      184.3799143   3  58
  1      184.3799905   5  67
  1      184.3800680   6  68
* Gp# 1[8,7,2,1,3] x =    477.1, y =    10.59, q = 0.9857 dT[    65,   148,   195,   340] Src Amplitude = 76.0
*        184.3795433   8  76
*        184.3796498   7  67
*        184.3797445   2  72
*        184.3796678   1  81
*        184.3799143   3  58
  1      184.3800810   4  71
  1      184.3801615   9  71
  1      184.3801715  10  70
  1      184.3893685   7  51
  1      184.3910823   7  50
  1      184.3932040   2  51
  1      184.3976800   5  51
  1      184.3977320   6  51
  1      184.3986278   9  51
  1      184.3999110   9  50
  1      184.4000050  10  50
  1      184.4006098   1  50
  1      184.4019283   9  50
  1      187.3400845   8  75
  1      187.3401900   1  80
  1      187.3401908   7  67
  1      187.3402855   2  72
  1      187.3404552   3  57
  1      187.3404605   5  67
  1      187.3406098   6  68
* Gp# 1[8,7,2,1,3] x =    477.9, y =    8.942, q = 0.9847 dT[    64,   148,   196,   341] Src Amplitude = 75.0
*        187.3400845   8  75
*        187.3401908   7  67
*        187.3402855   2  72
*        187.3401900   1  80
*        187.3404552   3  57
  1      187.3406223   4  71
  1      187.3406875  10  70
  1      187.3407065   9  72
  1      187.3537402   2  52
  1      187.3551158   8  50
  1      187.3578245   5  52
  1      187.3582728   6  52
  1      187.3591647   9  52
  1      187.3608080   9  50
  1      187.3612130   1  50
  1      187.3624698   9  50
211      197.1169918		Time Mark
130      203.3403332		Acquisition Paused
128      203.7054477		Acquisition Running
  1      207.4459853   8  73
  1      207.4460142   7  66
  1      207.4461382   2  72
  1      207.4462113   1  75
  1      207.4462700   3  60
  1      207.4463830   5  66
  1      207.4465317   4  65
  1      207.4465535  10  70
  1      207.4466145   6  66
  1      207.4466183   9  70
  1      207.4551317   7  51
* Gp# 1[7,8,2,1,4,5,6,9] x =    723.7, y =   -31.43, q = 0.9615 dT[    51,   142,   203,   550,   577,   627,   967] Src Amplitude = 66.0
*        207.4460142   7  66
*        207.4459853   8  73
*        207.4461382   2  72
*        207.4462113   1  75
*        207.4465317   4  65
*        207.4463830   5  66
*        207.4466145   6  66
*        207.4466183   9  70
  1      207.4577815   2  53
  1      207.4598523   4  52
  1      207.4599415   8  53
  1      207.4613130   4  51
  1      207.4617893   6  51
  1      207.4627500   4  50
  1      207.4631942   6  53
  1      207.4639365   9  50
  1      207.4639638   1  50
  1      207.4650402   6  51
  1      207.4655503  10  50
  1      210.6843128   8  73
  1      210.6843417   7  66
  1      210.6844655   2  73
  1      210.6845375   1  76
  1      210.6845975   3  61
  1      210.6847102   5  68
  1      210.6848290   4  66
  1      210.6849115   6  68
  1      210.6849278  10  72
  1      210.6849463   9  71
  1      210.6924943   7  52
* Gp# 1[7,8,2,1,4,5,6,9] x =    724.1, y =   -31.71, q = 0.9615 dT[    51,   142,   204,   550,   578,   628,   968] Src Amplitude = 66.0
*        210.6843417   7  66
*        210.6843128   8  73
*        210.6844655   2  73
*        210.6845375   1  76
*        210.6848290   4  66
*        210.6847102   5  68
*        210.6849115   6  68
*        210.6849463   9  71
  1      210.6964525   2  50
  1      210.7005145   4  51
  1      210.7006233   8  51
  1      210.7014710   1  53
  1      210.7015218   6  53
  1      210.7027925   9  51
  1      210.7031088   5  51
  1      210.7033675   6  52
  1      210.7036115  10  51
  1      210.7049290   1  50
  1      210.7050435   9  50
  1      210.7061802   1  50
  1      213.6972635   7  68
  1      213.6972762   8  75
  1      213.6973767   1  79
  1      213.6974275   2  73
  1      213.6975595   3  61
  1      213.6976692   5  69
  1      213.6976905   6  68
* Gp# 1[7,8,2,1,5] x =    717.9, y =   -7.211, q = 0.9869 dT[    52,   125,   211,   599] Src Amplitude = 68.0
*        213.6972635   7  68
*        213.6972762   8  75
*        213.6974275   2  73
*        213.6973767   1  79
*        213.6976692   5  69
  1      213.6977880   4  67
  1      213.6978538  10  72
  1      213.6978607   9  70
  1      213.6994160   3  51
  1      213.7090610   7  51
  1      213.7094033   2  53
  1      213.7128258   2  51
  1      213.7135760   8  52
  1      213.7160545   5  51
  1      213.7163305   6  53
  1      213.7175743   9  52
  1      213.7178918   1  53
  1      213.7191380   1  51
  1      216.5388830   7  67
  1      216.5388960   8  74
  1      216.5390475   2  72
  1      216.5391198   1  78
  1      216.5391792   3  60
  1      216.5392890   5  67
  1      216.5394103   4  66
  1      216.5394738  10  72
* Gp# 1[7,8,2,1,4,5] x =    717.8, y =   -3.309, q = 0.9894 dT[    52,   126,   212,   530,   599] Src Amplitude = 67.0
*        216.5388830   7  67
*        216.5388960   8  74
*        216.5390475   2  72
*        216.5391198   1  78
*        216.5394103   4  66
*        216.5392890   5  67
  1      216.5394810   9  69
  1      216.5394903   6  67
  1      216.5506813   7  50
  1      216.5510345   2  52
  1      216.5522800   8  50
  1      216.5525805   2  51
  1      216.5538975   8  51
  1      216.5558235   4  51
  1      216.5563825   6  51
  1      216.5575612   9  51
  1      216.5579503   6  52
  1      216.5588677   1  50
  1      216.5607633   1  50
  1      219.5417462   7  69
  1      219.5417595   8  75
  1      219.5418540   1  79
  1      219.5419108   2  73
  1      219.5420403   3  61
  1      219.5421128   5  69
  1      219.5421505   4  68
  1      219.5421735   6  68
* Gp# 1[7,8,2,1,5] x =    723.7, y =   -5.968, q = 0.9869 dT[    52,   126,   213,   600] Src Amplitude = 69.0
*        219.5417462   7  69
*        219.5417595   8  75
*        219.5419108   2  73
*        219.5418540   1  79
*        219.5421128   5  69
  1      219.5422933  10  74
  1      219.5423190   9  70
  1      219.5460137   3  51
  1      219.5528363   7  50
  1      219.5538863   2  54
  1      219.5549923   7  51
  1      219.5572975   2  52
  1      219.5575520   8  50
  1      219.5580093   4  54
  1      219.5589572   8  51
  1      219.5620838  10  51
  1      219.5622227   1  52
  1      219.5624615   6  52
  1      219.5636205   1  53
* Gp# 1[1,10,6] x =    830.4, y =     1509, q = 0 dT[     5,   300] Src Amplitude = 52.0
*        219.5622227   1  52
*        219.5620838  10  51
*        219.5624615   6  52
  1      219.5656650   9  50
211      228.7644655		Time Mark
130      231.5405095		Acquisition Paused
128      232.1732108		Acquisition Running
  1      237.6547685   7  58
  1      237.6548965   2  62
  1      237.6549110   1  71
  1      237.6549602   8  63
  1      237.6550013   3  53
  1      237.6553087   4  60
  1      237.6553090   5  65
  1      237.6553700   6  65
  1      237.6553745  10  67
  1      237.6555295   9  66
* Gp# 1[7,8,3,1,6,4,10] x =     1694, y =      -33, q = 0.9627 dT[   113,   152,   198,   574,   732,   923] Src Amplitude = 58.0
*        237.6547685   7  58
*        237.6549602   8  63
*        237.6550013   3  53
*        237.6549110   1  71
*        237.6553700   6  65
*        237.6553087   4  60
*        237.6553745  10  67
  1      237.6674833   5  50
  1      237.6678238   4  50
  1      237.6688883   1  53
  1      237.6693295   4  51
  1      237.6693907   9  52
  1      237.6693960   5  52
  1      237.6717075   1  52
* Gp# 1[4,9,5,1] x =    688.3, y =     2541, q = 0.9617 dT[    61,    71,   363] Src Amplitude = 51.0
*        237.6693295   4  51
*        237.6693907   9  52
*        237.6693960   5  52
*        237.6688883   1  53
  1      237.6720875  10  50
  1      240.9444690   7  56
  1      240.9445157   2  58
  1      240.9445175   8  62
  1      240.9445340   1  70
  1      240.9446205   3  52
