128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      449.9997045  10  72
  1      449.9997640   9  70
  1      450.0033615   3  63
  1      450.0065090   9  62
  1      450.0086672   5  63
  1      456.6620945   7  78
  1      456.6623500   3  83
  1      456.6623520   2  80
  1      456.6624005   8  75
  1      456.6624142   1  79
  1      456.6627182   4  73
  1      456.6627245   5  75
  1      456.6627650   6  76
  1      456.6629290   9  74
  1      456.6629732  10  74
  1      456.6693853   2  63
  1      456.6741350   9  62
  1      456.6759502   5  62
  1      465.1906885   7  77
  1      465.1909210   3  78
  1      465.1909225   2  74
  1      465.1910122   8  73
  1      465.1910802   1  75
  1      465.1912970   5  69
  1      465.1913350   4  69
  1      465.1913422   6  72
  1      465.1915812  10  71
  1      465.1916175   9  71
  1      465.1997307   9  62
  1      465.2004103   6  62
  1      474.5953680   7  76
  1      474.5956212   3  79
  1      474.5956245   2  75
  1      474.5956930   1  75
  1      474.5957242   8  72
  1      474.5959972   5  71
  1      474.5960345   4  68
  1      474.5960380   6  70
  1      474.5962542  10  71
  1      474.5963080   9  71
  1      474.6022882   4  62
  1      474.6026390   9  62
  1      474.6054202   5  63
  1      482.0937995   7  77
  1      482.0940530   3  81
  1      482.0940545   2  77
  1      482.0941205   1  76
  1      482.0941525   8  74
  1      482.0944290   5  72
  1      482.0944640   4  70
  1      482.0944675   6  73
  1      482.0946823  10  72
  1      482.0947392   9  71
  1      482.0981715   7  62
  1      482.1021540   4  62
  1      482.1036480   5  62
130      494.6997330		Acquisition Paused
128      498.3570467		Acquisition Running
  1      503.8462810   7  83
  1      503.8464350   8  79
  1      503.8464812   3  76
  1      503.8465335   1  81
  1      503.8465530   2  69
  1      503.8468830   5  73
  1      503.8468942   6  74
  1      503.8469920   4  74
  1      503.8471192   9  73
  1      503.8473572  10  71
  1      503.8534502   3  63
  1      503.8580113   6  62
  1      503.8617745   1  62
  1      510.2869525   7  84
  1      510.2871090   8  78
  1      510.2871555   3  76
  1      510.2872043   1  81
  1      510.2872455   2  70
  1      510.2875572   5  73
  1      510.2875685   6  73
  1      510.2876732   4  74
  1      510.2878412   9  73
  1      510.2880207  10  71
  1      510.2941242   3  63
  1      510.2977690   4  62
  1      510.2986852   6  62
  1      510.3156885   1  63
  1      516.0718182   7  82
  1      516.0719522   8  77
  1      516.0719985   3  73
  1      516.0720885   2  68
  1      516.0720925   1  80
  1      516.0724005   5  70
  1      516.0724115   6  71
  1      516.0725165   4  72
  1      516.0726895   9  71
  1      516.0728880  10  69
  1      516.0809192   9  62
  1      516.0835045   1  63
  1      516.2866690   1  65
  1      522.9041255   7  82
  1      522.9042615   8  76
  1      522.9043065   3  73
  1      522.9044000   2  68
  1      522.9044162   1  80
  1      522.9047083   5  70
  1      522.9047212   6  70
  1      522.9048242   4  72
  1      522.9049972   9  73
  1      522.9051990  10  69
  1      522.9158120   1  65
130      531.6050140		Acquisition Paused
128      532.2691742		Acquisition Running
  1      543.8822040   7  76
  1      543.8823130   8  78
  1      543.8823470   1  82
  1      543.8823850   3  80
  1      543.8825020   2  76
  1      543.8828145   5  73
  1      543.8828375   6  73
  1      543.8828730   4  73
  1      543.8830202  10  73
  1      543.8830357   9  72
  1      543.8848495   7  64
  1      543.8901495   3  63
* Gp# 1[7,8,1,3] x =     1605, y =   -27.11 dT[   109,   143,   181] Src Amplitude = 76.0
*        543.8822040   7  76
*        543.8823130   8  78
*        543.8823470   1  82
*        543.8823850   3  80
  1      543.8939870   5  63
  1      552.7814320   7  76
  1      552.7815412   8  78
  1      552.7816130   3  81
  1      552.7817065   1  83
  1      552.7817280   2  76
  1      552.7819845   6  73
  1      552.7820045   5  77
  1      552.7820990   4  76
  1      552.7822035  10  74
  1      552.7822303   9  72
  1      552.7857335   8  62
  1      552.7892202   3  63
* Gp# 1[7,8,3,1] x =     1330, y =   -41.35 dT[   109,   181,   275] Src Amplitude = 76.0
*        552.7814320   7  76
*        552.7815412   8  78
*        552.7816130   3  81
*        552.7817065   1  83
  1      552.7930410  10  62
  1      552.7938810   5  62
  1      552.8079052   7  62
  1      552.8079875   3  64
  1      552.8080930   1  68
  1      559.5856703   7  82
  1      559.5857173   8  77
  1      559.5857650   3  83
  1      559.5858165   1  85
  1      559.5858375   2  80
  1      559.5860145   6  78
  1      559.5861570   5  77
  1      559.5861845   4  78
  1      559.5863875   9  77
  1      559.5864292  10  81
  1      559.6013020   4  65
* Gp# 1[7,8,3,1,2,6] x =     1700, y =   -14.67 dT[    47,    95,   146,   167,   344] Src Amplitude = 82.0
*        559.5856703   7  82
*        559.5857173   8  77
*        559.5857650   3  83
*        559.5858165   1  85
*        559.5858375   2  80
*        559.5860145   6  78
  1      569.2633265   7  77
  1      569.2634340   8  78
  1      569.2634700   1  83
  1      569.2635080   3  81
  1      569.2636250   2  77
  1      569.2638993   5  75
  1      569.2639385   6  73
  1      569.2639940   4  75
  1      569.2641140  10  73
  1      569.2641207   9  73
  1      569.2659725   7  63
  1      569.2702125   3  62
* Gp# 1[7,8,1,3] x =     1608, y =    -28.7 dT[   108,   144,   182] Src Amplitude = 77.0
*        569.2633265   7  77
*        569.2634340   8  78
*        569.2634700   1  83
*        569.2635080   3  81
  1      569.2751103   5  62
  1      569.2772340   1  62
130      576.7443140		Acquisition Paused
128      577.1976070		Acquisition Running
  1      585.0250240   7  75
  1      585.0250532   8  73
  1      585.0251905   3  82
  1      585.0252325   1  74
  1      585.0253555   2  75
  1      585.0255620   5  76
  1      585.0255902   6  78
  1      585.0257242   4  71
  1      585.0257460   9  75
  1      585.0258375  10  69
  1      585.0278362   7  62
  1      590.7029622   8  73
* Gp# 1[7,8,3,1] x =     1736, y =   -102.8 dT[    29,   167,   209] Src Amplitude = 75.0
*        585.0250240   7  75
*        585.0250532   8  73
*        585.0251905   3  82
*        585.0252325   1  74
  1      590.7030035   7  75
  1      590.7031015   3  80
  1      590.7031420   1  73
  1      590.7032672   2  74
  1      590.7035020   6  77
  1      590.7035220   5  74
  1      590.7036332   4  71
  1      590.7037490  10  68
  1      590.7037550   9  74
  1      590.7141035   1  62
* Gp# 1[8,7,3,1] x =     2002, y =   -66.98 dT[    41,   139,   180] Src Amplitude = 73.0
*        590.7029622   8  73
*        590.7030035   7  75
*        590.7031015   3  80
*        590.7031420   1  73
  1      597.4771695   7  75
  1      597.4772043   8  73
  1      597.4773393   3  83
  1      597.4773783   1  76
  1      597.4774195   2  75
  1      597.4776622   4  71
  1      597.4776720   5  77
  1      597.4777345   6  79
  1      597.4778450  10  69
  1      597.4778948   9  76
  1      603.4183612   8  74
* Gp# 1[7,8,3,1] x =     1719, y =     -101 dT[    35,   170,   209] Src Amplitude = 75.0
*        597.4771695   7  75
*        597.4772043   8  73
*        597.4773393   3  83
*        597.4773783   1  76
  1      603.4184022   7  77
  1      603.4185005   3  81
  1      603.4185375   1  75
  1      603.4186635   2  74
  1      603.4188695   5  75
  1      603.4188940   6  77
  1      603.4190320   4  73
  1      603.4190545   9  75
  1      603.4191460  10  68
  1      603.4284800   6  63
* Gp# 1[8,7,3,1] x =     2004, y =   -64.17 dT[    41,   139,   176] Src Amplitude = 74.0
*        603.4183612   8  74
*        603.4184022   7  77
*        603.4185005   3  81
*        603.4185375   1  75
  1      609.9168563   7  79
  1      609.9168852   8  73
  1      609.9169630   1  77
  1      609.9170222   3  83
  1      609.9171542   2  77
  1      609.9173450   4  73
  1      609.9173550   5  77
  1      609.9174172   6  78
  1      609.9175142   9  76
  1      609.9175475  10  71
  1      609.9263270  10  62
* Gp# 1[7,8,1,3,9] x =     1845, y =   -128.6 dT[    29,   107,   166,   658] Src Amplitude = 79.0
*        609.9168563   7  79
*        609.9168852   8  73
*        609.9169630   1  77
*        609.9170222   3  83
*        609.9175142   9  76
130      618.4638687		Acquisition Paused
128      619.0069832		Acquisition Running
  1      635.2113255  10  64
  1      651.8713025   8  75
  1      651.8713835   1  73
  1      651.8714265   7  75
  1      651.8715290   3  76
  1      651.8716513   2  72
  1      651.8718695   6  71
  1      651.8719495   5  69
  1      651.8720670   4  70
  1      651.8720697   9  71
  1      651.8720957  10  74
  1      651.8738322   7  62
  1      651.8764855   2  64
  1      651.8797617   9  62
  1      658.7395650   8  75
  1      658.7396162   7  74
  1      658.7396452   1  74
  1      658.7397910   3  76
  1      658.7399130   2  74
  1      658.7400942   5  69
  1      658.7401415   6  72
  1      658.7403112   9  72
  1      658.7403290   4  71
  1      658.7403547  10  75
  1      664.7228165   8  74
* Gp# 1[8,7,1,3] x =    414.5, y =    94.64 dT[    51,    80,   226] Src Amplitude = 75.0
*        658.7395650   8  75
*        658.7396162   7  74
*        658.7396452   1  74
*        658.7397910   3  76
  1      664.7228970   1  74
  1      664.7229410   7  75
